title,company,compensation,employment_type,location,posted_date,description,experience_level,post_id,contact_info,url,label
experienced cook -three nights per week!,,compensation:,contract,,2025-04-24T11:59:52-0400,"cook with short order experience for family style restaurant. looking to hire for three nights only- thursday, friday and saturday nights. great people to work with. closing is at 9:00pm. please call elizabeth 585-354-4941.",,7844868011, | 585-354-4941,https://rochester.craigslist.org/fbh/d/rochester-experienced-cook-three-nights/7844868011.html,1
seamless gutter installer,,compensation:,contract,,2025-04-24T13:15:29-0400,gutter installer. driver's license required good work ethic top pay shining bonus after one month call david thibodeau gutter company 585-317-3116 must be good with ladder work and hand tools will train,,7844898361, | 585-317-3116,https://rochester.craigslist.org/lab/d/rochester-seamless-gutter-installer/7844898361.html,1
site work construction positions,,compensation:,contract,1823 Lakeville Rd. near Route 5&20,2025-04-24T13:48:50-0400,"specific sitework positions available: heavy equipment operators, pipe layers, and general laborers. lg evans construction, inc. performs work on a mix of public prevailing rate and private commercial projects in the site and concrete construction market. applicants with a versatile resume are encouraged to apply. reliability, a strong work ethic and professionalism is a must. work will be primarily in the rochester and surrounding counties area with some minor travel required. pay range approximately $20-$35/hr based on position and experience and is negotiable. we also offer medical benefits, pto, and a 401k plan with company match, along with an excellent working environment!! apply today! there are a variety of ways: website: www.lgevansinc.com - submit an application right from the career tab in person: our main headquarters is located at 1823 lakeville road, avon, ny, 14414 have questions? call (585) 226-2240",,7844910736, | (585) 226-2240,https://rochester.craigslist.org/trd/d/avon-site-work-construction-positions/7844910736.html,1
residential fence installer,,compensation:,contract,,2025-04-24T14:52:20-0400,in need of fence installers for residential homes. hiring more than one person.  experience preferred but willing to train.  must have own transportation. please call mike at 585-284-6010,,7844933894, | 585-284-6010,https://rochester.craigslist.org/lab/d/rochester-residential-fence-installer/7844933894.html,0
deli workers needed,,compensation:,contract,2590 West Ridge Road near Long Pond Road,2025-04-24T14:57:55-0400,"looking for a job with energy, good food and great people?  we’re hiring for multiple positions and want friendly, dependable people to join us. front of house: you’ll be the face of the deli - greeting customers, answering phones, prepping food and slicing meats. back of house: work behind the scenes prepping ingredients, preparing hot subs and using the deep fryer to cook up customer favorites. what to expect: -must be available nights and weekends -no late night shifts-we close at 7:00 pm -must be at least 18 years old apply in person and ask for pino or petrena",,7844935778,,https://rochester.craigslist.org/fbh/d/rochester-deli-workers-needed/7844935778.html,1
summer maintenance/yard/painting work,,compensation:,contract,,2025-04-24T15:13:01-0400,"summer work offered at $22.50/hour for someone interested in relatively light maintenance, yard, and painting work. there could be some cleaning work too. tools and directions are provided as needed and work schedule is very flexible. the work is at several attractive private properties in the 19th ward and southwedge. much of it will be outdoors and fun work related to summer projects (ex. powerwashing, painting, hedging, weeding, etc).",,7844941331,,https://rochester.craigslist.org/lab/d/rochester-summer-maintenance-yard/7844941331.html,1
daytime line cook,PT & FT,compensation:,contract,176  S Goodman St near Park Ave,2025-04-09T21:39:36-0400,"want to be out of work by 3:30pm? join our team @mad hatter! we are open tuesday-sunday 8am-2:30pm. seeking seasoned line cooks. must have a minimum of 3 years experience working in a commercial kitchen. fast paced environment. competitive pay based on skillset and experience.    internship options available. seasonal, par time or full time available. apply in person or online at www.madhatterrochester.com",,7841237488,,https://rochester.craigslist.org/fbh/d/rochester-daytime-line-cook-pt-ft/7841237488.html,1
esthetician /nail technician,,compensation:,contract,28 Willow Pond Way,2025-04-09T23:09:32-0400,"we’re hiring at loving you nails & spa! position: licensed esthetician/nail technician status: full-time or part-time position available start time: immediate opening loving you nails & spa, a holistic day spa located in penfield, ny, is looking for a talented and passionate esthetician or nail technician with one year of experience to join our team! we specialize in organic and advanced skincare, and holistic non-toxic pedicures and manicures what we offer: •	a serene, supportive spa environment •	established client base •	competitive commission-based pay/rental or hourly •	opportunities for growth and continued education •	products and supplies provided •	beautiful, newly renovated space with luxury touches ideal candidate: •	licensed in new york state •	professional, reliable, and passionate about holistic beauty •	experienced in natural nail care (dazzle dry experience is a plus!) •	committed to excellent client care and sanitation practices •	team player with a positive attitude if you’re ready to be part of a growing spa that values wellness, relaxation, and self-care, we’d love to hear from you! to apply: please email your resume and availability to www.lovingyounailspa.com contact mary or call/text 585-280-3533. location: loving you nails & spa 28 willow pond way, suite 100 penfield, ny 14526 join us in creating a relaxing, beautiful experience for every client—one appointment at a time.",senior,7841248978, | 585-280-3533,https://rochester.craigslist.org/spa/d/penfield-esthetician-nail-technician/7841248978.html,1
line cook,,compensation:,contract,407 commerce dr near Victor Pittsford rd,2025-04-10T07:26:19-0400,looking for an experienced line cook that can work in a very fast paced diner. no nights weekends are a must. pay will be based on experience. please come in person between the hours of 7-11am to apply. no phone calls please the original steve’s diner victor 407 commerce dr. victor 14564,senior,7841281078,,https://rochester.craigslist.org/fbh/d/victor-line-cook/7841281078.html,1
hvac installer,,compensation:,contract,,2025-04-10T09:03:45-0400,"hvac installer. experienced or will train. learn a great trade. need own transportation to job. will provide tools if needed. installing heat pumps, ductwork, furnaces, insulation. instalador de hvac. con experiencia o entrenara. aprende un gran oficio. necesito mi propio transporte al trabajo. proporcionara herramientas si es necesario. instalacion de bombas de calor, conductos, hornos, aislamiento.",senior,7841295092,,https://rochester.craigslist.org/trd/d/spencerport-hvac-installer/7841295092.html,1
automotive tire technicians,$800 New Hire Bonus,compensation:,contract,,2025-04-10T09:47:19-0400,,,7841304556,,https://rochester.craigslist.org/lab/d/mount-morris-automotive-tire/7841304556.html,0
line cook/saute cook,,compensation:,contract,4699 Lake Avenue,2025-04-10T10:13:39-0400,"company description: mr. dominic's is an italian restaurant located in rochester, ny in charlotte on lake aveune. family owner and operated since 1976. role description: this is a full-time or part-time,  on-site role for a line cook at mr. dominics at the lake located in rochester, ny. the line cook will be responsible for preparing ingredients, cooking menu items, and ensuring the quality.",,7841311601,,https://rochester.craigslist.org/fbh/d/rochester-line-cook-saute-cook/7841311601.html,1
part time & full time solo class a cdl night positions,,compensation:,contract,,2025-04-10T10:15:13-0400,,,7841312048,,https://rochester.craigslist.org/trp/d/west-henrietta-part-time-full-time-solo/7841312048.html,0
fiorella hiring evening host,,compensation:,contract,,2025-04-10T10:45:50-0400,"we are looking for a friendly, upbeat host to work wednesday through saturday evening shifts. must be available to work all four days. the ideal candidate would have a welcoming personality, is neat and very organized, is able to answer phones and schedule reservations, and is a team player. they should be willing to fill in a variety of tasks as needed keep up with busy shifts. if you love the restaurant business and genuinely enjoy people, we need to hear from you. please respond to this ad with your resume and interview availability",,7841319942,,https://rochester.craigslist.org/fbh/d/rochester-fiorella-hiring-evening-host/7841319942.html,1
screen printer/folders/reclaim positions,,compensation:,contract,1916 LYELL AVE near Lee Rd,2025-04-10T13:23:36-0400,"tm design corp on lyell avenue in gates is looking to fill positions in our screen printing department. printing, folding and screen reclaim are available. *union job with benefits* -apply in person to the address below, and/or email a resume, do not call. -full time position -ot available some of the time. -hours: 8am - 4pm; or 8:30am - 4:30pm -after 60 days, aca approved health care with a 50% copay on premium. -union position (after 6-month probationary period) pppwu local 503. -after 6-months benefits include 6 paid holidays, union pension (501c) and a 401k w/match. -after 1-year, benefits include 2-weeks pto (1 wk vaca/1 wk sick) (unused pto is paid out each year) -must be reliable, able to work 40 hours, must demonstrate good attendance. -must be a highly motivated person! -must be able to work on feet and in heat, and lift boxes weighing up to 35lbs. -must work well with others, and stay focused. -other positions maybe available now or soon. if you are self-motivated and looking to work for a small company, and grow with a company which has 33 years in the t-shirt printing industry and 28 years as a union ship, come fill out an application. tm design of rochester, corp 1916 lyell ave rochester, ny 14606 hours 9am - 5pm right by the canal in gates, across from gerber collision, near the , just off 390 @ lyell. get off 390 at lyell, head towards the city, on north side of road by canal just before you cross into the city.",,7841373590,,https://rochester.craigslist.org/mnu/d/rochester-screen-printer-folders/7841373590.html,1
short order cooks/fryers,,compensation:,contract,3670 lake rd near 104 and 19,2025-04-10T13:33:30-0400,full-time/part time,,7841377088,,https://rochester.craigslist.org/fbh/d/clarkson-short-order-cooks-fryers/7841377088.html,0
door installer,,compensation:,contract,,2025-04-10T13:55:38-0400,"door installer’s needed (exterior, patio, interior, barn, storm, and security doors) rfi facilitates over 400,000 installations annually across the country. with a network of over 1,500 independent contractors, we provide installation services for over 20 different home improvement products including doors, windows, siding, kitchen, bath, closets, and more. looking to expand your existing business or get a foot in the door as a start-up? ✓ rfi offers unlimited opportunities and growth potential. looking to supplement your current revenue? ✓ rfi provides you with additional revenue while you continue running your existing business ✓ rfi offers supplemental income for experienced contractors looking to perform storm/security door measures and installations as well!  this is a great way to supplement your income while working alone! tired of chasing your money? ✓ rfi offers consistent pay. we direct deposit every two weeks upon completion of work. tired of investing in marketing and advertising? ✓ with rfi there is no marketing necessary. we are partnered with national retailers who invest millions in marketing and advertising. leads are provided to you free of charge. are you wasting time performing free in-home estimates that do not convert to actual work? ✓ no cold calls, no canvasing, no sales! our customers come to our retailers because they are ready to buy. you get the measurements; they close the sale. we pay for measurements! requirements •	must be able to pass a detailed background investigation. •	minimum of 5 years' experience installing doors and/or trim carpentry is preferred. •	vehicle, trailer, or some way to transport products to job sites. •	must provide own tools- ie: trim carpentry/door installation tools. •	access to a smart phone and/or tablet, as well as a computer with an internet connection. •	epa or state rrp certified (lead safe work practices). we can assist in obtaining certification if necessary. •	licensed and insured (according to local/state requirements)",senior,7841384973,,https://rochester.craigslist.org/trd/d/batavia-door-installer/7841384973.html,1
auto body and paint.,,compensation:,contract,,2025-04-10T14:03:00-0400,"looking for auto body and paint person, male or female not important. part time or full time. l0cated in victor. busy shop, vacation and pto. please send resume.",,7841387639,,https://rochester.craigslist.org/lab/d/victor-auto-body-and-paint/7841387639.html,0
pintxo wine bar seeks server!,,compensation:,contract,27 Coach St,2025-04-10T14:57:41-0400,"canandaigua's spanish wine bar and restaurant, pintxo, is looking for a p/t server. this position is 3p-close wed-fri. we close at 9p (10p fri/sat). we are a small and tight-knit team, we take pride in the details of our work in a kind and organized environment, and we all support one another in getting the job done. we're 11 months in, and while carrying out our mission of providing elegant and comfortable service, our focus is on getting better every day. some wine knowledge is preferred, and we'll train on our list and spain in general. passionate learners to the front of the line!",,7841404996,,https://rochester.craigslist.org/fbh/d/canandaigua-pintxo-wine-bar-seeks-server/7841404996.html,1
auto tech needed,,compensation:,contract,,2025-04-10T16:00:25-0400,"auto tech needed, 40 hours per week, no weekends, located in victor ny, must have tools and experience in auto repair. please send resume.",,7841424148,,https://rochester.craigslist.org/lab/d/victor-auto-tech-needed/7841424148.html,0
diesel / automotive technician,,compensation:,contract,,2025-04-10T16:08:24-0400,"we are growing and adding additional diesel and automotive technicians to our family-owned business. we have a new state of the art repair facility located in gainesville, n.y., being one of the largest growing diversified repair facilities in the region. our customer base ranges from medium and heavy-duty trucks to trailers along with agriculture equipment. we off competitive wages, benefits, uniforms, house training programs, locker rooms and a kitchenette. technicians must have a least 1 year of base knowledge, experience and tools. cdl license and a nys dot inspectors license are a plus to your application. wages are based on experience and individuals drive to succeed. stop by and get a tour our facility to get a full understanding on exactly what we have to offer you in your career development and advancement and consider joining out team. benefits: 401(k) 401(k) matching dental insurance employee assistance program employee discount health insurance health savings account life insurance paid time off referral program retirement plan tuition reimbursement vision insurance",,7841426673,,https://rochester.craigslist.org/trp/d/gainesville-diesel-automotive-technician/7841426673.html,1
seasonal lifeguard needed! great pay!,,compensation:,contract,1600 Elmwood Ave.,2025-04-10T16:20:40-0400,"seasonal lifeguards needed: must have own transportation, a valid driver's license and be at least 18 years of age. must be nys certified and american red cross cpr for professional rescuer. must be able to work from memorial day to labor day. ($bonus if qualified). pool hours 11 am to 8 pm must be available for either shift and any day or weekend. contact missy @ 585-473-2544 or apply at 1600 elmwood apartments, 1600 elmwood ave, brighton, ny 14620 monday-friday 9 am to 5 pm. we look forward to hearing from you!",,7841430558, | 585-473-2544,https://rochester.craigslist.org/etc/d/rochester-seasonal-lifeguard-needed/7841430558.html,1
line cooks,,compensation:,contract,east river rd near jefferson rd,2025-04-10T16:56:35-0400,"micginny's is now hiring line cooks. must have night and weekend availability as well as reliable transportation. minimum 3 years experience required. we are looking to add responsible, self-motivated individuals who can work well alone as well as in a team setting.",,7841441794,,https://rochester.craigslist.org/fbh/d/rochester-line-cooks/7841441794.html,0
lawn mowing crew/landscape position available,,compensation:,contract,,2025-04-11T07:51:41-0400,"established lawn and landscape company looking to hire someone with several years experience out in the lawn and landscape field. must have several years of experience working with lawn mowing crew, trimming shrubs, edging beds, weeding, mulching, spring/fall clean-ups etc..... (some training is available). snowplowing is available in the winter months must be reliable and dependable with a valid drivers license. must have a good eye for detailed work. pay is based on experience and is negotiable. (good pay for the right person with experience with performance bonuses) for more info please call (585)214-9898 if no answer leave a voice mail or text is ok. (pls no emails) ty",,7841551359, | (585)214-9898,https://rochester.craigslist.org/lab/d/webster-lawn-mowing-crew-landscape/7841551359.html,1
truck driver/car hauler,,compensation:,contract,250 Lein Rd,2025-04-11T08:25:09-0400,"truck drivers.  start the new year in a big way! are you in the car-hauling, motor freight, long haul or ltl job where your talent is not appreciated?  ""get the work out"" is the mantra? would you like to come to a place every day where you are surrounded by car-haulers whose skills are celebrated?  at online auto connection we believe our purpose is to build a better company full of professional car haulers, setting an example for the trucking industry.  at online auto connection we work hard, we play hard and change lives. if you are a truck driver with some experience (2yr.), who wants to learn to haul cars, we offer training! online auto connection will train you to ear a 6 figure income!  call today, auto transport school begins! regional positions available based out of buffalo, ny. what we offer: -paid training and support for non-experienced car haulers. -home on weekends. (wny region) -paid weekly. -earn 6 figures a year. $$ -full company paid medical/dental/vision. -401k with company contribution. -life insurance/disability. -newest fleet of trucks in wny. -bonuses for productivity and longevity. what you bring: -valid class a cdl with acceptable mvr record. -ability to enter canada. -minimum 23 years of age with 2 years otr experience. -strong work ethic, neat appearance and willingness to learn. *please include an email or phone contact if you reply thru this add so i can actually respond!*",senior,7841555235,,https://rochester.craigslist.org/trp/d/buffalo-truck-driver-car-hauler/7841555235.html,1
office furniture installers needed,,compensation:,contract,,2025-04-11T09:31:34-0400,"full time/part time jobs available. well known company in its field, looking for qualified office furniture installers for large corporate clients. must have tools and a good drivers license. must be mechanically inclined. pay and benefits based on experience. please do not apply if you do not have prior experience in assembly. please attach your resume.",,7841567466,,https://rochester.craigslist.org/trd/d/office-furniture-installers-needed/7841567466.html,1
horse farm assistant,,compensation:,contract,,2025-04-11T10:14:18-0400,help with daily care groom turnout stalls bring in quality horses and staff hard work happy barn,,7841577640,,https://rochester.craigslist.org/lab/d/honeoye-falls-horse-farm-assistant/7841577640.html,0
modern salon - openings for chair rent & chair rental,,compensation:,contract,246 Spencerport Road near Long Pond,2025-04-11T10:17:09-0400,rare opportunity for nail tech and chair rental in modern upscale salon we now have openings for: nail tech -  modern station in upscale salon chair rental - modern station in a upscale salon please give us a call to find out more information and set up a time to come in at 585-413-39one9,,7841578387,,https://rochester.craigslist.org/spa/d/rochester-modern-salon-openings-for/7841578387.html,1
maintenance tech,,compensation:,contract,,2025-04-11T10:48:05-0400,"looking for maintenance tech with strong background in framing, drywall install and finish and painting.  plumbing, electrical and vinyl plank flooring.",,7841586488,,https://rochester.craigslist.org/lab/d/rochester-maintenance-tech/7841586488.html,0
otr cdl driver wanted,,compensation:,contract,525 Attridge Road,2025-04-11T10:58:58-0400,"solid carriers is an otr company looking for motivated drivers with at least 2 years of experience, clean driving record, and no issues with drugs or alcohol, for cross county reefer loads. 1099 pay starting at .57cpm with pay increase after 90 days, extra stop pay and monthly fuel bonus trucks are clean, with refrigerator and new bedding. no nyc, and rarely go east/north of albany. drivers are expected to run legally, be courteous to brokers and fellow drivers. (yes, even those pesky 4 wheelers!!) and have an all around good attitude. we understand that may be tough at times, and drivers rarely get the appreciation they deserve, but we try to hold ourselves to a higher standard from driver all the way up to the owner. solid carriers offers a drop yard to leave the truck when you come home that is fenced in to keep your vehicle safe when you are on the road. if this sounds like something you are interested in, please contact us via email. we currently have one open truck, hope to hear from some good drivers soon. stay safe out there drivers, hope to hear from you soon.",,7841589328,,https://rochester.craigslist.org/trp/d/rochester-otr-cdl-driver-wanted/7841589328.html,1
delivery and setup team member,,compensation:,contract,,2025-04-11T11:28:11-0400,"job description: join our hardworking team at an established event and tent rental company! we’re looking for a dedicated delivery and setup team member to assist with the delivery, setup, and dismantling of event equipment and tents. this is a physically demanding, hands-on role that requires a strong work ethic and the ability to work long hours. you’ll play an essential role in ensuring that events run smoothly by installing tents, setting up chairs, tables, lighting, and other event equipment, as well as striking and packing equipment after events. key responsibilities: •	delivering and installing tents and event equipment (chairs, tables, lighting, etc.) at various event locations •	dismantling and striking equipment post-event and ensuring items are packed correctly for transport •	ensuring all equipment is set up according to client specifications and safety standards •	loading and unloading trucks, handling equipment with care •	maintaining a clean and organized work environment during events •	performing general manual labor as needed to assist the team in achieving event setup goals •	ensuring timely deliveries and pickups of rental equipment •	communicating effectively with team members and clients requirements: •	clean driving record with valid driver’s license (cdl preferred but not required) •	ability to work long hours and weekends as required •	physically capable of manual labor, including lifting heavy equipment •	strong work ethic with a focus on punctuality and reliability •	prior experience in event setups, tent installations, or manual labor is a plus, but not required •	ability to work well in a team environment and follow directions •	excellent communication skills and a positive attitude benefits: •	competitive hourly wage •	opportunities for overtime •	full-time, stable work •	potential for growth within the company if you're hardworking, enjoy physical tasks, and want to contribute to creating unforgettable events, apply today! to apply:jackie@rentrightnow.com please submit your resume and a brief cover letter explaining why you're the perfect fit for this role.",,7841598154,jackie@rentrightnow.com,https://rochester.craigslist.org/lab/d/bergen-delivery-and-setup-team-member/7841598154.html,1
hiring carpenters,,compensation:,contract,Lake rd near Route 21,2025-04-11T12:05:05-0400,"we are an honest, family oriented, carpentry company based in williamson, new york focused on delivering experienced craftmanship and the utmost service to our customers. the majority of our business is obtained through word of mouth, and we still must turn jobs away because we simply do not have the crew. although turning away business is not the best growth model, we are steadfast that each of our employees maintain our company's values. not the best carpenter?  we can help develop your craftmanship if you match our integrity, respect, dedication and willingness to deliver white-glove level service to our valued customers. already a great carpenter? come work for a company that acknowledges your abilities and respects your time off the clock. part-time and full-time positions are available.  bring a friend, split the work week, whatever (house)-worxs for you. still interested? we would like the opportunity to talk in person and discuss all the benefits of being a houseworx team member. visit our website at houseworxonline.com and if you like what you see, apply through the “employment” page or e-mail me directly. if computers are not your thing, visit our office at 4137 mill st in williamson. make the effort to contact us and get the job you want. thank you for your interest, josh@houseworxonline.com tags: wayne county, williamson, 14589, 14505, 14519, 14551, houseworx, carpentry, construction, skilled trade, skill trades, job, work, carpenter, carpenters, laborers, pultneyville",senior,7841609911,Josh@Houseworxonline.com,https://rochester.craigslist.org/trd/d/pultneyville-hiring-carpenters/7841609911.html,1
lawn care crew member- hiring now!,,compensation:,contract,,2025-04-11T12:31:20-0400,highly rated landscape company seeking crew members for mowing season. competitive wage! must have 2+ years experience with commercial mower (zero turn) and weed wacker/trimmer. must have valid nys drivers license and transportation to and from work. monday - friday greece/gates area contact mike @ 230-0506,,7841619629,,https://rochester.craigslist.org/lab/d/rochester-lawn-care-crew-member-hiring/7841619629.html,0
cdl-a hazmat tanker driver - day shift / local route,,compensation:,contract,249 Paul Rd,2025-04-11T14:02:41-0400,"join our team: cdl-a drivers wanted! crossett, inc. is hiring cdl-a professional drivers! established in 1928, we pride ourselves on delivering excellent customer service with a focus on safety. why choose us? - day shift / local / home daily - $30.27+/hour and overtime available - monthly & annual bonuses - low-cost top-tier benefits – medical/vision/dental/401k - paid holidays & vacation - life & disability insurance - free flame-resistant uniforms - new, well-maintained equipment job responsibilities: - safely transport materials in tanker trucks - follow traffic laws & ensure safety - load/unload materials - pre/post-trip inspections - maintain accurate records - communicate with dispatch & customers requirements: - cdl class a with tanker & hazmat endorsements - clean driving record - strong attention to detail & physical capability apply today to enjoy great pay, home time, and excellent benefits!",,7841653016,,https://rochester.craigslist.org/trp/d/rochester-cdl-hazmat-tanker-driver-day/7841653016.html,1
experienced painter needed,,compensation:,contract,,2025-04-11T14:32:25-0400,"please read ad before contacting me. remember you are looking for a job..you can text me or call me i am available. don't contact me and tell me to call you. life doesn't work that way. don't send me pictures of your work. a brief description of job and pay. read below: work is a combination of interior and exterior work but primarily exterior right now due to season approaching. weather is tough so getting hours is a challenge. i can not guarantee 40 hours a week right now. pay comes on friday worst case scenario. i offer more than one payroll per week as we often do 2 or 3 day jobs. with that being said touch ups will be,at a minimal or things will not work out as that is a immediate sign of you being careless or incompetent. this particular position is currently for local monroe county n.y. work. minimal limited interaction with the customers is accepted and tolerated. this is to be professional and to avoid confusion. no smoking of any kind inside any of the jobsites or within 100 feet of the jobsite. not looking for interior only individuals. not looking to subcontract work. no i'm not looking for managers or to share work. i am on all job sites applicating steadily with my employees not working remotely barking orders over the phone. i am insured, licensed in several states certified building analyst, bpi certifications,osha certified amongst many other certifications.l and qualifications. i am the lead painter for over a dozen international trade show companies. i am always accountable and 100% debt free. with that being said i am not ""patting myself on my back i am stating i can see through your bullshit if you don't want to work and make excuses."" payroll is guaranteed in cash. i am a very ,very small very steady sole proprietorship. this is not a corporate fairy tale..we are a little rough around the edges and always will be. pay starts at $22.00 per hour. it increases as you steadily produce in a manner that is consistent with a responsible tradesman. continuously meeting the daily tasks which are elementary and fundamental. hourly pay increases from there. guaranteed! requirements: be able to arrive daily. at least 2 years of verifiable local painting experience. you need to own professional contractors brushes and hand tools such as: 5 in 1, scrapers, wire brush, putty knife, screw drivers, wiz handle and razor knife. that's all, i provide everything else. don't show up with make up brushes and tell me i need tape and the wall is the problem....either you can or can not! important : you must own your own painters whites ( that is bottom clothing or white pants/shorts for those of you that call and ask me what painter whites are!) you can purchase at most supply houses or online. important : the ability  to safely carry a 28' extension ladder and work comfortably off of the ladder at that height. please do not contact me unless you can do this. i really don't need to discuss anything at all further if you can not work heights. i'm not discriminating. that is a requirement. please don't contact me. it's a waste of time. important: your own vehicle that you solely can use on a daily basis to get you to the job sites. must speak and understand the english language. don't apply if you can not meet these minimal basic requirements. incentives include: cash pay, weekly cash pay, bonuses, good job sites, a regular customer base, free lunch, free uniforms, potential to travel to las vegas for convention work during trade show season, all equipment needed is provided ,the use of quality materials and the staff at the supply houses always treat you in a professional manner. in closing: i've heard all the excuses and lies...you agreed to do a job for a agreed wage, you heard and read the job descriptions and accepted the job. just do it.. if you read this ad and are interested in the job call me and tell me your favorite band or sports team or vacation place so i know that you read this job description. if not you can't follow a job description then  we are already off to a bad start....understand??",,7841663189,,https://rochester.craigslist.org/lab/d/webster-experienced-painter-needed/7841663189.html,1
