title,company,compensation,employment_type,location,posted_date,description,experience_level,post_id,contact_info,url
Experienced cook -three nights per week!,,compensation:,contract,,2025-04-24T11:59:52-0400,"Cook with short order experience for family style restaurant. Looking to hire for three nights only- thursday, friday and Saturday nights. Great people to work with. Closing is at 9:00pm. Please call Elizabeth 585-354-4941.",,7844868011, | 585-354-4941,https://rochester.craigslist.org/fbh/d/rochester-experienced-cook-three-nights/7844868011.html
Seamless Gutter installer,,compensation:,contract,,2025-04-24T13:15:29-0400,Gutter installer. Driver's license required good work ethic top pay shining bonus after one month call David Thibodeau gutter company 585-317-3116 must be good with ladder work and hand tools will train,,7844898361, | 585-317-3116,https://rochester.craigslist.org/lab/d/rochester-seamless-gutter-installer/7844898361.html
Site Work Construction Positions,,compensation:,contract,1823 Lakeville Rd. near Route 5&20,2025-04-24T13:48:50-0400,"Specific Sitework Positions Available: Heavy Equipment Operators, Pipe Layers, and General Laborers. LG Evans Construction, Inc. performs work on a mix of public prevailing rate and private commercial projects in the site and concrete construction Market. Applicants with a versatile resume are encouraged to apply. Reliability, a strong work ethic and professionalism is a MUST. Work will be primarily in the Rochester and surrounding counties area with some minor travel required. Pay range approximately $20-$35/hr based on position and experience and is negotiable. We also offer medical benefits, PTO, and a 401K plan with company match, along with an excellent working environment!! Apply today! There are a variety of ways: Website: www.lgevansinc.com - submit an application right from the career tab In person: Our main headquarters is located at 1823 Lakeville Road, Avon, NY, 14414 Have questions? Call (585) 226-2240",,7844910736, | (585) 226-2240,https://rochester.craigslist.org/trd/d/avon-site-work-construction-positions/7844910736.html
Residential Fence Installer,,compensation:,contract,,2025-04-24T14:52:20-0400,In need of fence installers for residential homes. Hiring more than one person.  Experience preferred but willing to train.  MUST HAVE OWN TRANSPORTATION. PLEASE CALL MIKE AT 585-284-6010,,7844933894, | 585-284-6010,https://rochester.craigslist.org/lab/d/rochester-residential-fence-installer/7844933894.html
Deli workers needed,,compensation:,contract,2590 West Ridge Road near Long Pond Road,2025-04-24T14:57:55-0400,"Looking for a job with energy, good food and great people?  We’re hiring for multiple positions and want friendly, dependable people to join us. Front of House: You’ll be the face of the deli - greeting customers, answering phones, prepping food and slicing meats. Back of House: Work behind the scenes prepping ingredients, preparing hot subs and using the deep fryer to cook up customer favorites. What to expect: -Must be available nights and weekends -No late night shifts-we close at 7:00 pm -Must be at least 18 years old Apply in person and ask for Pino or Petrena",,7844935778,,https://rochester.craigslist.org/fbh/d/rochester-deli-workers-needed/7844935778.html
Summer Maintenance/Yard/Painting Work,,compensation:,contract,,2025-04-24T15:13:01-0400,"Summer work offered at $22.50/hour for someone interested in relatively light maintenance, yard, and painting work. There could be some cleaning work too. Tools and directions are provided as needed and work schedule is very flexible. The work is at several attractive private properties in the 19th ward and Southwedge. Much of it will be outdoors and fun work related to summer projects (ex. powerwashing, painting, hedging, weeding, etc).",,7844941331,,https://rochester.craigslist.org/lab/d/rochester-summer-maintenance-yard/7844941331.html
Daytime Line Cook,PT & FT,compensation:,contract,176  S Goodman St near Park Ave,2025-04-09T21:39:36-0400,"Want to be out of work by 3:30pm? Join our team @Mad Hatter! We are open Tuesday-Sunday 8am-2:30pm. Seeking seasoned line cooks. Must have a minimum of 3 years experience working in a commercial kitchen. Fast paced environment. Competitive pay based on skillset and experience.    Internship options available. Seasonal, par time or full time available. Apply in person or online at www.madhatterrochester.com",,7841237488,,https://rochester.craigslist.org/fbh/d/rochester-daytime-line-cook-pt-ft/7841237488.html
Esthetician /Nail Technician,,compensation:,contract,28 Willow Pond Way,2025-04-09T23:09:32-0400,"We’re Hiring at Loving You Nails & Spa! Position: Licensed Esthetician/Nail Technician Status: Full-Time or Part-time Position Available Start Time: Immediate Opening Loving You Nails & Spa, a holistic day spa located in Penfield, NY, is looking for a talented and passionate Esthetician or Nail Technician with one year of experience to join our team! We specialize in organic and advanced skincare, and holistic non-toxic pedicures and manicures What We Offer: •	A serene, supportive spa environment •	Established client base •	Competitive commission-based pay/rental or hourly •	Opportunities for growth and continued education •	Products and supplies provided •	Beautiful, newly renovated space with luxury touches Ideal Candidate: •	Licensed in New York State •	Professional, reliable, and passionate about holistic beauty •	Experienced in natural nail care (Dazzle Dry experience is a plus!) •	Committed to excellent client care and sanitation practices •	Team player with a positive attitude If you’re ready to be part of a growing spa that values wellness, relaxation, and self-care, we’d love to hear from you! To Apply: Please email your resume and availability to www.lovingyounailspa.com Contact Mary or call/text 585-280-3533. Location: Loving You Nails & Spa 28 Willow Pond Way, Suite 100 Penfield, NY 14526 Join us in creating a relaxing, beautiful experience for every client—one appointment at a time.",senior,7841248978, | 585-280-3533,https://rochester.craigslist.org/spa/d/penfield-esthetician-nail-technician/7841248978.html
Line cook,,compensation:,contract,407 commerce dr near Victor Pittsford rd,2025-04-10T07:26:19-0400,Looking for an EXPERIENCED line cook that can work in a very fast paced diner. NO NIGHTS Weekends are a must. Pay will be based on experience. Please come in person between the hours of 7-11am to apply. No phone calls please The original Steve’s diner Victor 407 commerce dr. Victor 14564,senior,7841281078,,https://rochester.craigslist.org/fbh/d/victor-line-cook/7841281078.html
HVAC installer,,compensation:,contract,,2025-04-10T09:03:45-0400,"HVAC Installer. Experienced or will train. Learn a great trade. Need own transportation to job. Will provide tools if needed. Installing Heat Pumps, ductwork, furnaces, insulation. Instalador de HVAC. Con experiencia o entrenara. Aprende un gran oficio. Necesito mi propio transporte al trabajo. Proporcionara herramientas si es necesario. Instalacion de bombas de calor, conductos, hornos, aislamiento.",senior,7841295092,,https://rochester.craigslist.org/trd/d/spencerport-hvac-installer/7841295092.html
AUTOMOTIVE TIRE TECHNICIANS,$800 New Hire Bonus,compensation:,contract,,2025-04-10T09:47:19-0400,,,7841304556,,https://rochester.craigslist.org/lab/d/mount-morris-automotive-tire/7841304556.html
Line Cook/Saute Cook,,compensation:,contract,4699 Lake Avenue,2025-04-10T10:13:39-0400,"Company Description: Mr. Dominic's is an Italian Restaurant located In Rochester, NY in Charlotte on Lake Aveune. Family Owner and Operated since 1976. Role Description: This is a full-time or part-time,  on-site role for a Line Cook at Mr. Dominics at the Lake located in Rochester, NY. The Line Cook will be responsible for preparing ingredients, cooking menu items, and ensuring the quality.",,7841311601,,https://rochester.craigslist.org/fbh/d/rochester-line-cook-saute-cook/7841311601.html
Part Time & Full Time Solo Class A CDL Night Positions,,compensation:,contract,,2025-04-10T10:15:13-0400,,,7841312048,,https://rochester.craigslist.org/trp/d/west-henrietta-part-time-full-time-solo/7841312048.html
FIORELLA HIRING EVENING HOST,,compensation:,contract,,2025-04-10T10:45:50-0400,"We are looking for a friendly, upbeat host to work Wednesday through Saturday evening shifts. Must be available to work all four days. The ideal candidate would have a welcoming personality, is neat and very organized, is able to answer phones and schedule reservations, and is a team player. They should be willing to fill in a variety of tasks as needed keep up with busy shifts. If you love the restaurant business and genuinely enjoy people, we need to hear from you. Please respond to this ad with your resume and interview availability",,7841319942,,https://rochester.craigslist.org/fbh/d/rochester-fiorella-hiring-evening-host/7841319942.html
Screen Printer/Folders/Reclaim positions,,compensation:,contract,1916 LYELL AVE near Lee Rd,2025-04-10T13:23:36-0400,"TM Design Corp on Lyell Avenue in Gates is looking to fill positions in our Screen Printing Department. Printing, Folding and screen reclaim are available. *Union Job with Benefits* -Apply in person to the address below, and/or email a resume, DO NOT CALL. -Full Time position -OT available some of the time. -Hours: 8am - 4pm; or 8:30am - 4:30pm -After 60 days, ACA approved health care with a 50% copay on premium. -Union Position (after 6-month probationary period) PPPWU Local 503. -After 6-months benefits include 6 paid holidays, union pension (501c) and a 401k w/match. -After 1-year, benefits include 2-weeks PTO (1 wk Vaca/1 wk Sick) (unused PTO is paid out each year) -Must be reliable, able to work 40 hours, must demonstrate good attendance. -Must be a highly motivated person! -Must be able to work on feet and in heat, and lift boxes weighing up to 35lbs. -Must work well with others, and stay focused. -Other positions maybe available now or soon. If you are self-motivated and looking to work for a small company, and grow with a company which has 33 years in the t-shirt printing industry and 28 years as a union ship, come fill out an application. TM Design of Rochester, Corp 1916 Lyell Ave Rochester, NY 14606 Hours 9am - 5pm Right by the canal in Gates, across from Gerber collision, near the , just off 390 @ Lyell. Get off 390 at Lyell, head towards the city, on north side of road by canal just before you cross into the city.",,7841373590,,https://rochester.craigslist.org/mnu/d/rochester-screen-printer-folders/7841373590.html
Short order cooks/fryers,,compensation:,contract,3670 lake rd near 104 and 19,2025-04-10T13:33:30-0400,Full-time/part time,,7841377088,,https://rochester.craigslist.org/fbh/d/clarkson-short-order-cooks-fryers/7841377088.html
Door Installer,,compensation:,contract,,2025-04-10T13:55:38-0400,"Door Installer’s Needed (Exterior, Patio, Interior, Barn, Storm, And Security Doors) RFI facilitates over 400,000 installations annually across the country. With a network of over 1,500 independent contractors, we provide installation services for over 20 different home improvement products including doors, windows, siding, kitchen, bath, closets, and more. Looking to expand your existing business OR get a foot in the door as a start-up? ✓ RFI offers unlimited opportunities and growth potential. Looking to supplement your current revenue? ✓ RFI provides you with additional revenue while you continue running your existing business ✓ RFI offers supplemental income for experienced contractors looking to perform Storm/Security door measures and installations as well!  This is a great way to supplement your income while working alone! Tired of chasing your money? ✓ RFI offers consistent pay. We direct deposit every two weeks upon completion of work. Tired of investing in marketing and advertising? ✓ With RFI there is no marketing necessary. We are partnered with national retailers who invest millions in marketing and advertising. Leads are provided to you free of charge. Are you wasting time performing FREE in-home estimates that do not convert to actual work? ✓ No cold calls, no canvasing, no sales! Our customers come to our retailers because they are ready to buy. You get the measurements; they close the sale. We pay for measurements! Requirements •	Must be able to pass a detailed background investigation. •	Minimum of 5 years' experience installing doors and/or trim carpentry is preferred. •	Vehicle, trailer, or some way to transport products to job sites. •	Must provide own tools- IE: trim carpentry/door installation tools. •	Access to a smart phone and/or tablet, as well as a computer with an internet connection. •	EPA or State RRP Certified (Lead Safe Work Practices). We can assist in obtaining certification if necessary. •	Licensed and Insured (according to local/state requirements)",senior,7841384973,,https://rochester.craigslist.org/trd/d/batavia-door-installer/7841384973.html
AUTO BODY AND PAINT.,,compensation:,contract,,2025-04-10T14:03:00-0400,"LOOKING FOR AUTO BODY AND PAINT PERSON, MALE OR FEMALE NOT IMPORTANT. PART TIME OR FULL TIME. L0CATED IN VICTOR. BUSY SHOP, VACATION AND PTO. PLEASE SEND RESUME.",,7841387639,,https://rochester.craigslist.org/lab/d/victor-auto-body-and-paint/7841387639.html
Pintxo Wine Bar seeks Server!,,compensation:,contract,27 Coach St,2025-04-10T14:57:41-0400,"Canandaigua's Spanish wine bar and restaurant, Pintxo, is looking for a P/T server. This position is 3p-close Wed-Fri. We close at 9p (10p Fri/Sat). We are a small and tight-knit team, we take pride in the details of our work in a kind and organized environment, and we all support one another in getting the job done. We're 11 months in, and while carrying out our mission of providing elegant and comfortable service, our focus is on getting better every day. Some wine knowledge is preferred, and we'll train on our list and Spain in general. Passionate learners to the front of the line!",,7841404996,,https://rochester.craigslist.org/fbh/d/canandaigua-pintxo-wine-bar-seeks-server/7841404996.html
AUTO TECH NEEDED,,compensation:,contract,,2025-04-10T16:00:25-0400,"AUTO TECH NEEDED, 40 HOURS PER WEEK, NO WEEKENDS, LOCATED IN VICTOR NY, MUST HAVE TOOLS AND EXPERIENCE IN AUTO REPAIR. PLEASE SEND RESUME.",,7841424148,,https://rochester.craigslist.org/lab/d/victor-auto-tech-needed/7841424148.html
Diesel / Automotive Technician,,compensation:,contract,,2025-04-10T16:08:24-0400,"We are growing and adding additional Diesel and Automotive Technicians to our Family-Owned Business. We have a New State of the Art Repair Facility located in Gainesville, N.Y., being one of the largest growing diversified repair facilities in the region. Our customer base ranges from Medium and Heavy-Duty Trucks to Trailers along with Agriculture Equipment. We off competitive Wages, Benefits, Uniforms, House Training Programs, Locker Rooms and a Kitchenette. Technicians must have a least 1 year of Base Knowledge, Experience and Tools. CDL License and a NYS DOT Inspectors License are a plus to your application. Wages are based on Experience and individuals drive to succeed. Stop by and get a Tour our Facility to get a full understanding on exactly what we have to offer you in your career development and advancement and consider joining out Team. Benefits: 401(k) 401(k) matching Dental insurance Employee assistance program Employee discount Health insurance Health savings account Life insurance Paid time off Referral program Retirement plan Tuition reimbursement Vision insurance",,7841426673,,https://rochester.craigslist.org/trp/d/gainesville-diesel-automotive-technician/7841426673.html
Seasonal Lifeguard Needed! Great Pay!,,compensation:,contract,1600 Elmwood Ave.,2025-04-10T16:20:40-0400,"Seasonal Lifeguards Needed: Must have own transportation, a valid driver's license and be at least 18 years of age. Must be NYS certified and American Red Cross CPR for Professional Rescuer. Must be able to work from Memorial Day to Labor Day. ($Bonus if qualified). Pool hours 11 am to 8 pm must be available for either shift and any day or weekend. Contact Missy @ 585-473-2544 or apply at 1600 Elmwood Apartments, 1600 Elmwood Ave, Brighton, NY 14620 Monday-Friday 9 am to 5 pm. We look forward to hearing from you!",,7841430558, | 585-473-2544,https://rochester.craigslist.org/etc/d/rochester-seasonal-lifeguard-needed/7841430558.html
Line Cooks,,compensation:,contract,east river rd near jefferson rd,2025-04-10T16:56:35-0400,"MicGinny's is now hiring line cooks. Must have night and weekend availability as well as reliable transportation. Minimum 3 years experience required. We are looking to add responsible, self-motivated individuals who can work well alone as well as in a team setting.",,7841441794,,https://rochester.craigslist.org/fbh/d/rochester-line-cooks/7841441794.html
Lawn Mowing Crew/Landscape position available,,compensation:,contract,,2025-04-11T07:51:41-0400,"Established Lawn and Landscape company looking to hire someone with several years experience out in the lawn and landscape field. Must have several years of experience working with lawn mowing crew, trimming shrubs, edging beds, weeding, mulching, spring/fall clean-ups etc..... (some training is available). Snowplowing is available in the winter months Must be reliable and dependable with a valid drivers license. Must have a good eye for detailed work. Pay is based on experience and is negotiable. (good pay for the right person with experience with Performance bonuses) For more info please call (585)214-9898 if no answer leave a voice mail or text is ok. (pls no emails) ty",,7841551359, | (585)214-9898,https://rochester.craigslist.org/lab/d/webster-lawn-mowing-crew-landscape/7841551359.html
Truck Driver/Car hauler,,compensation:,contract,250 Lein Rd,2025-04-11T08:25:09-0400,"Truck Drivers.  Start the New Year in a BIG way! Are you in the car-hauling, motor freight, long haul or LTL job where your talent is not appreciated?  ""Get the work out"" is the mantra? Would you like to come to a place every day where you are surrounded by car-haulers whose skills are celebrated?  At OnLine Auto Connection we believe our purpose is to build a better company full of Professional Car Haulers, setting an example for the trucking industry.  At OnLine Auto Connection we work hard, we play hard and change lives. If you are a Truck driver with some experience (2Yr.), who wants to learn to haul cars, we offer training! OnLine Auto Connection will train you to ear a 6 figure income!  Call today, Auto Transport School begins! Regional Positions available based out of Buffalo, NY. What we Offer: -Paid Training and support for non-experienced car haulers. -Home on weekends. (WNY region) -Paid Weekly. -Earn 6 figures a year. $$ -Full Company Paid Medical/Dental/Vision. -401k with Company contribution. -Life Insurance/Disability. -Newest Fleet of trucks in WNY. -Bonuses for Productivity and Longevity. What you Bring: -Valid Class A CDL with acceptable MVR record. -Ability to enter Canada. -Minimum 23 years of age with 2 years OTR experience. -Strong work ethic, neat appearance and willingness to learn. *Please include an email or phone contact if you reply thru this add so I can actually respond!*",senior,7841555235,,https://rochester.craigslist.org/trp/d/buffalo-truck-driver-car-hauler/7841555235.html
Office Furniture Installers Needed,,compensation:,contract,,2025-04-11T09:31:34-0400,"Full time/Part Time jobs available. Well known company in its field, looking for qualified office furniture installers for large corporate clients. Must have tools and a good drivers license. Must be mechanically inclined. Pay and benefits based on experience. Please do not apply if you do not have prior experience in assembly. Please attach your resume.",,7841567466,,https://rochester.craigslist.org/trd/d/office-furniture-installers-needed/7841567466.html
HORSE FARM ASSISTANT,,compensation:,contract,,2025-04-11T10:14:18-0400,Help with daily care Groom Turnout Stalls Bring in Quality horses and staff Hard work Happy barn,,7841577640,,https://rochester.craigslist.org/lab/d/honeoye-falls-horse-farm-assistant/7841577640.html
Modern Salon - Openings for Chair Rent & Chair Rental,,compensation:,contract,246 Spencerport Road near Long Pond,2025-04-11T10:17:09-0400,Rare Opportunity for Nail Tech and Chair Rental in Modern Upscale Salon We now have openings for: Nail Tech -  Modern Station in Upscale Salon Chair Rental - Modern Station in a Upscale Salon Please give us a call to find out more information and set up a time to come in at 585-413-39one9,,7841578387,,https://rochester.craigslist.org/spa/d/rochester-modern-salon-openings-for/7841578387.html
Maintenance Tech,,compensation:,contract,,2025-04-11T10:48:05-0400,"Looking for Maintenance Tech with strong background in Framing, Drywall Install and Finish and Painting.  Plumbing, Electrical and Vinyl Plank Flooring.",,7841586488,,https://rochester.craigslist.org/lab/d/rochester-maintenance-tech/7841586488.html
OTR CDL Driver wanted,,compensation:,contract,525 Attridge Road,2025-04-11T10:58:58-0400,"Solid Carriers is an OTR company looking for motivated drivers with at least 2 years of experience, clean driving record, and no issues with drugs or alcohol, for cross county reefer loads. 1099 pay starting at .57cpm with pay increase after 90 days, extra stop pay and monthly fuel bonus Trucks are clean, with refrigerator and new bedding. No NYC, and rarely go east/north of Albany. Drivers are expected to run legally, be courteous to brokers and fellow drivers. (Yes, even those pesky 4 wheelers!!) and have an all around good attitude. We understand that may be tough at times, and drivers rarely get the appreciation they deserve, but we try to hold ourselves to a higher standard from driver all the way up to the owner. Solid Carriers offers a drop yard to leave the truck when you come home that is fenced in to keep your vehicle safe when you are on the road. If this sounds like something you are interested in, please contact us via email. we currently have one open truck, Hope to hear from some good drivers soon. Stay safe out there drivers, hope to hear from you soon.",,7841589328,,https://rochester.craigslist.org/trp/d/rochester-otr-cdl-driver-wanted/7841589328.html
Delivery and Setup Team Member,,compensation:,contract,,2025-04-11T11:28:11-0400,"Job Description: Join our hardworking team at an established event and tent rental company! We’re looking for a dedicated Delivery and Setup Team Member to assist with the delivery, setup, and dismantling of event equipment and tents. This is a physically demanding, hands-on role that requires a strong work ethic and the ability to work long hours. You’ll play an essential role in ensuring that events run smoothly by installing tents, setting up chairs, tables, lighting, and other event equipment, as well as striking and packing equipment after events. Key Responsibilities: •	Delivering and installing tents and event equipment (Chairs, Tables, Lighting, etc.) at various event locations •	Dismantling and striking equipment post-event and ensuring items are packed correctly for transport •	Ensuring all equipment is set up according to client specifications and safety standards •	Loading and unloading trucks, handling equipment with care •	Maintaining a clean and organized work environment during events •	Performing general manual labor as needed to assist the team in achieving event setup goals •	Ensuring timely deliveries and pickups of rental equipment •	Communicating effectively with team members and clients Requirements: •	Clean driving record with valid driver’s license (CDL preferred but not required) •	Ability to work long hours and weekends as required •	Physically capable of manual labor, including lifting heavy equipment •	Strong work ethic with a focus on punctuality and reliability •	Prior experience in event setups, tent installations, or manual labor is a plus, but not required •	Ability to work well in a team environment and follow directions •	Excellent communication skills and a positive attitude Benefits: •	Competitive hourly wage •	Opportunities for overtime •	Full-time, stable work •	Potential for growth within the company If you're hardworking, enjoy physical tasks, and want to contribute to creating unforgettable events, apply today! To Apply:jackie@rentrightnow.com Please submit your resume and a brief cover letter explaining why you're the perfect fit for this role.",,7841598154,jackie@rentrightnow.com,https://rochester.craigslist.org/lab/d/bergen-delivery-and-setup-team-member/7841598154.html
Hiring Carpenters,,compensation:,contract,Lake rd near Route 21,2025-04-11T12:05:05-0400,"We are an honest, family oriented, carpentry company based in Williamson, New York focused on delivering experienced craftmanship and the utmost service to our customers. The majority of our business is obtained through word of mouth, and we still must turn jobs away because we simply do not have the crew. Although turning away business is not the best growth model, we are steadfast that each of our employees maintain our company's values. Not the best carpenter?  We can help develop your craftmanship if you match our integrity, respect, dedication and willingness to deliver white-glove level service to our valued customers. Already a great carpenter? Come work for a company that acknowledges your abilities and respects your time off the clock. Part-time and full-time positions are available.  Bring a friend, split the work week, whatever (house)-worxs for you. Still interested? We would like the opportunity to talk in person and discuss all the benefits of being a Houseworx team member. Visit our website at Houseworxonline.com and if you like what you see, apply through the “employment” page or e-mail me directly. If computers are not your thing, visit our office at 4137 Mill St in Williamson. Make the effort to contact us and get the job you want. Thank you for your interest, Josh@Houseworxonline.com Tags: Wayne County, Williamson, 14589, 14505, 14519, 14551, Houseworx, Carpentry, construction, skilled trade, skill trades, job, work, carpenter, carpenters, laborers, Pultneyville",senior,7841609911,Josh@Houseworxonline.com,https://rochester.craigslist.org/trd/d/pultneyville-hiring-carpenters/7841609911.html
LAWN CARE CREW MEMBER- Hiring now!,,compensation:,contract,,2025-04-11T12:31:20-0400,Highly rated Landscape company seeking crew members for mowing season. COMPETITIVE WAGE! Must have 2+ years experience with Commercial Mower (zero turn) and weed wacker/trimmer. Must have valid NYS Drivers License and transportation to and from work. Monday - Friday Greece/Gates area Contact Mike @ 230-0506,,7841619629,,https://rochester.craigslist.org/lab/d/rochester-lawn-care-crew-member-hiring/7841619629.html
CDL-A Hazmat Tanker Driver - Day Shift / Local Route,,compensation:,contract,249 Paul Rd,2025-04-11T14:02:41-0400,"Join Our Team: CDL-A Drivers Wanted! Crossett, Inc. is hiring CDL-A Professional Drivers! Established in 1928, we pride ourselves on delivering excellent customer service with a focus on safety. Why Choose Us? - Day Shift / Local / Home Daily - $30.27+/hour and overtime available - Monthly & Annual Bonuses - LOW-COST Top-Tier Benefits – Medical/Vision/Dental/401k - Paid Holidays & Vacation - Life & Disability Insurance - Free Flame-Resistant Uniforms - New, Well-Maintained Equipment Job Responsibilities: - Safely transport materials in tanker trucks - Follow traffic laws & ensure safety - Load/unload materials - Pre/post-trip inspections - Maintain accurate records - Communicate with dispatch & customers Requirements: - CDL Class A with Tanker & Hazmat endorsements - Clean driving record - Strong attention to detail & physical capability Apply today to enjoy great pay, home time, and excellent benefits!",,7841653016,,https://rochester.craigslist.org/trp/d/rochester-cdl-hazmat-tanker-driver-day/7841653016.html
